Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	0.007	0.351	0.699	0.141	10.94	4.02	124.287	0.077	1.982	0.504	0.877
imp	0.808	5.888	0.293	1.499	4.464	6.825	85.555	1.053	1.572	0.636	0.757
imp	2.909	7.172	0.711	2.556	19.451	6.381	109.558	1.564	1.488	0.672	0.953
imp	3.874	8.455	0.681	2.933	16.033	10.396	86.076	1.945	1.424	0.702	0.933
imp	2.741	7.982	0.54	2.608	3.317	11.479	58.081	1.726	1.348	0.742	0.899
imp	2.71	6.848	0.726	2.297	8.959	9.403	98.466	1.748	1.214	0.824	0.952
imp	0.005	0.259	0.959	0.095	7.512	10	146.31	0.069	1.162	0.861	0.976
imp	2.696	7.779	0.56	3.075	12.129	13.201	68.857	1.47	2.095	0.477	0.929
imp	2.006	11.545	0.189	2.558	21.025	11.521	170.732	1.467	1.677	0.596	0.702
imp	2.824	7.371	0.653	2.531	0.512	12.314	21.424	1.849	1.276	0.784	0.914
imp	2.862	6.993	0.735	2.406	16.365	12.789	17.241	1.647	1.523	0.657	0.934
imp	4.39	9.757	0.58	3.557	3.539	15.15	48.854	1.618	2.248	0.445	0.939
imp	1.94	5.497	0.807	1.875	10.069	12.963	149.534	1.46	1.182	0.846	0.958
imp	0.006	0.283	0.907	0.106	5.188	16.159	36.87	0.074	1.195	0.837	0.974
imp	1.964	6.044	0.675	2.018	6.445	2.911	76.218	1.493	1.409	0.71	0.92
imp	3.203	8.903	0.508	2.505	2.652	4.173	83.34	1.845	1.291	0.775	0.896
imp	2.802	8.327	0.508	2.99	13.846	5.198	69.74	1.399	2.197	0.455	0.906
imp	1.397	8.822	0.226	1.719	17.184	2.678	93.17	1.315	1.187	0.842	0.825
imp	0.016	0.726	0.373	0.262	3.059	3.133	117.597	0.106	3.285	0.304	0.702
imp	2.774	7.648	0.596	3.075	10.116	3.154	133.538	1.46	1.972	0.507	0.94
imp	0.002	0.178	0.899	0.067	2.388	3.909	135	0.048	1	1	1
imp	2.963	18.571	0.108	3.234	19.424	4.569	127.3	1.788	1.829	0.547	0.669
imp	2.334	6.714	0.651	2.406	0.808	4.495	157.545	1.67	1.328	0.753	0.951
imp	2.088	5.956	0.74	2.035	5.563	6.83	168.165	1.378	1.558	0.642	0.94
imp	1.295	5.347	0.569	2.183	13.233	7.57	4.579	1.043	2.078	0.481	0.931
imp	3.034	8.003	0.595	2.933	22.594	8.31	154.958	1.418	2.313	0.432	0.894
imp	0.988	4.046	0.758	1.452	17.353	8.832	129.539	0.935	1.459	0.685	0.966
imp	0.851	3.694	0.783	1.295	5.642	9.514	174.615	0.85	1.543	0.648	0.975
imp	3.377	8.421	0.598	2.921	19.509	9.234	129.275	1.665	1.905	0.525	0.922
imp	3.216	7.537	0.711	2.702	9.847	9.635	177.535	1.715	1.505	0.664	0.949
imp	0.014	0.447	0.89	0.161	7.211	10.29	121.608	0.121	1.211	0.826	0.966
imp	2.31	10.256	0.276	2.598	5.114	13.819	71.749	1.57	1.937	0.516	0.812
imp	0.003	0.217	0.894	0.082	5.684	11.706	45	0.058	1.021	0.979	0.996
imp	0.021	0.545	0.893	0.19	9.25	12.662	56.31	0.158	1.105	0.905	0.955
imp	2.254	6.197	0.737	2.248	16.181	12.546	132.047	1.342	1.67	0.599	0.961
imp	0.036	0.882	0.584	0.292	6.698	12.831	40.601	0.221	1.368	0.731	0.808
imp	0.002	0.178	0.899	0.067	6.587	12.71	135	0.048	1	1	1
