Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	0.008	0.348	0.842	0.138	3.724	2.256	46.548	0.095	1.397	0.716	0.96
imp	0.316	7.379	0.073	1.463	3.397	2.34	114.992	0.611	2.871	0.348	0.489
imp	0.009	0.376	0.818	0.146	3.682	2.446	46.469	0.1	1.358	0.736	0.935
imp	1.735	15.802	0.087	1.951	13.941	2.636	148.85	1.605	1.241	0.806	0.732
imp	0.002	0.178	0.899	0.067	3.814	2.361	135	0.048	1	1	1
imp	0.002	0.178	0.899	0.067	3.693	2.673	135	0.048	1	1	1
imp	0.007	0.352	0.736	0.138	3.265	2.958	43.452	0.088	1.705	0.587	0.884
imp	0.217	2.734	0.364	0.773	4.221	3.671	60.983	0.583	1.394	0.717	0.758
imp	0.008	0.348	0.871	0.135	3.788	3.032	149.421	0.079	1.54	0.65	0.971
imp	2.424	7.486	0.544	2.795	5.003	6.191	74.992	1.233	2.695	0.371	0.903
imp	0.004	0.235	0.895	0.087	3.328	3.523	142.431	0.058	1.243	0.805	0.993
imp	2.803	8.766	0.458	3.445	17.982	4.68	143.921	1.139	3.089	0.324	0.928
imp	2.119	8.015	0.414	2.5	10.909	7.073	67.119	1.425	1.764	0.567	0.866
imp	1.495	5.836	0.552	1.73	21.564	6.175	147.086	1.385	1.366	0.732	0.873
imp	3.423	7.448	0.776	2.494	14.749	6.566	147.017	2.008	1.145	0.873	0.957
imp	0.004	0.232	0.9	0.09	11.738	6.698	45	0.063	1.096	0.912	0.989
imp	0.007	0.4	0.566	0.158	11.199	7.1	50.44	0.078	2.4	0.417	0.802
imp	2.042	6.474	0.612	2.176	17.882	9.889	56.387	1.39	1.657	0.603	0.932
imp	0.94	8.498	0.164	2.319	22.668	10.053	42.045	1.31	2.081	0.48	0.517
imp	0.018	0.536	0.8	0.206	24.363	8.595	129.806	0.137	1.32	0.758	0.94
imp	0.005	0.254	0.922	0.097	23.397	8.743	49.399	0.069	1.162	0.86	0.977
imp	0.594	6.227	0.192	1.951	15.187	10.597	52.261	0.913	3.014	0.332	0.461
imp	0.062	1.4	0.396	0.619	14.966	9.165	25.253	0.14	5.101	0.196	0.882
imp	0.009	0.41	0.652	0.166	23.381	9.245	22.479	0.063	2.65	0.377	0.947
imp	0.062	1.117	0.628	0.403	14.649	9.503	163.229	0.221	1.985	0.504	0.888
imp	0.033	0.786	0.671	0.318	23.613	9.841	132.979	0.166	1.977	0.506	0.891
imp	0.045	0.993	0.576	0.402	14.849	10.301	28.25	0.158	2.802	0.357	0.876
imp	0.014	0.457	0.848	0.177	14.554	10.211	143.471	0.111	1.482	0.675	0.961
imp	2.955	7.525	0.656	2.96	19.535	10.438	111.574	1.59	1.937	0.516	0.956
imp	3.279	7.456	0.741	2.458	6.329	11.902	16.098	1.874	1.227	0.815	0.952
imp	0.006	0.321	0.729	0.13	15.018	10.486	153.435	0.058	2.228	0.449	0.951
imp	0.005	0.254	0.916	0.101	21.41	17.337	47.121	0.069	1.203	0.831	0.98
imp	0.012	0.391	0.958	0.14	25.082	17.517	29.476	0.111	1.144	0.874	0.969
imp	2.668	6.936	0.697	2.284	5.843	2.219	59.104	1.627	1.238	0.808	0.932
imp	2.077	7.36	0.482	2.242	10.555	0.988	109.545	1.441	1.527	0.655	0.941
imp	3.852	8.482	0.673	3.072	22.403	2.99	23.082	1.798	1.657	0.603	0.92
imp	2.942	7.515	0.654	2.793	0.866	3.677	2.819	1.437	2.075	0.482	0.938
imp	0.082	1.143	0.79	0.412	13.481	4.057	22.62	0.296	1.398	0.715	0.934
imp	0.058	1.173	0.527	0.526	12.657	4.775	51.52	0.162	3.452	0.29	0.921
imp	0.004	0.221	0.909	0.083	12.974	4.95	39.806	0.058	1.114	0.898	0.981
imp	0.94	6.142	0.313	1.647	12.562	4.923	116.483	1.03	1.609	0.622	0.718
imp	2.558	6.736	0.708	2.405	2.182	5.996	178.112	1.451	1.474	0.679	0.952
imp	0.038	0.792	0.76	0.314	13.302	4.939	114.842	0.163	1.92	0.521	0.938
imp	1.6	5.405	0.688	1.927	17.195	6.27	16.398	1.371	1.386	0.722	0.957
imp	0.046	1.058	0.514	0.316	13.798	5.193	17.526	0.269	1.237	0.809	0.782
imp	3.772	9.275	0.551	3.191	19.804	8.251	71.565	1.827	1.672	0.598	0.947
imp	0.02	0.616	0.678	0.224	13.249	5.325	153.435	0.135	1.538	0.65	0.878
imp	3.353	7.825	0.688	2.8	9.334	9.26	83.827	1.842	1.598	0.626	0.946
imp	2.926	6.986	0.753	2.23	1.199	9.044	76.853	1.823	1.196	0.836	0.951
imp	2.881	8.152	0.545	2.617	11.997	7.781	168.236	1.482	1.721	0.581	0.939
imp	3.344	7.615	0.725	2.459	16.334	8.922	21.55	2.04	1.212	0.825	0.914
imp	1.238	9.698	0.165	2.231	13.957	10.935	72.638	1.43	2.009	0.498	0.553
imp	0.302	2.568	0.576	0.997	14.923	8.975	115.072	0.515	1.881	0.532	0.865
imp	0.003	0.196	0.905	0.075	14.966	10.09	45	0.053	1.025	0.975	0.995
imp	3.009	7.491	0.674	2.89	6.603	10.38	158.218	1.473	2.074	0.482	0.967
imp	0.003	0.196	0.905	0.075	14.596	10.38	45	0.053	1.025	0.975	0.995
imp	2.574	7.524	0.571	3.001	19.847	11.31	101.883	1.29	2.549	0.392	0.918
imp	2.3	6.313	0.725	2.041	14.115	14.612	166.683	1.647	1.174	0.852	0.937
imp	2.459	6.92	0.645	2.311	11.183	17.036	74.217	1.645	1.397	0.716	0.894
imp	1.64	5.438	0.697	1.743	2.847	16.207	8.891	1.43	1.154	0.867	0.942
imp	4.641	10.497	0.529	3.994	18.632	16.328	177.043	1.656	2.355	0.425	0.913
imp	0.459	3.193	0.566	1.238	2.235	17.739	164.659	0.529	2.437	0.41	0.926
imp	2.466	7.187	0.6	2.358	12.245	4.67	74.002	1.583	1.294	0.773	0.927
imp	3.081	7.353	0.716	2.48	4.638	4.723	38.774	1.618	1.427	0.701	0.953
imp	2.037	12.466	0.165	2.432	19.9	6.265	21.94	1.608	1.425	0.702	0.729
imp	0.007	0.319	0.875	0.116	21.062	6.149	59.931	0.079	1.271	0.787	0.957
imp	0.008	0.329	0.875	0.138	4.094	6.572	136.548	0.082	1.585	0.631	0.964
imp	0.005	0.266	0.926	0.105	23.486	6.725	45	0.074	1.235	0.81	0.974
imp	2.292	6.696	0.642	2.559	19.804	10.497	170.615	1.519	1.692	0.591	0.935
imp	4.616	9.076	0.704	3.245	9.118	13.481	23.811	1.744	1.903	0.525	0.949
imp	2.795	6.819	0.755	2.531	15.272	12.536	162.888	1.404	1.791	0.558	0.972
imp	4.072	9.176	0.608	3.378	11.553	16.085	17.472	1.552	2.221	0.45	0.944
imp	0.008	0.356	0.82	0.144	16.645	15.478	36.027	0.089	1.594	0.627	0.949
imp	2.834	7.073	0.712	2.402	19.171	0.671	119.948	1.82	1.229	0.813	0.952
imp	0.772	9.399	0.11	1.817	23.074	3.148	169.278	1.287	1.711	0.585	0.449
imp	0.239	2.9	0.357	0.809	12.731	3.73	35.972	0.547	1.35	0.741	0.788
imp	0.002	0.178	0.899	0.067	12.583	3.238	135	0.048	1	1	1
imp	0.006	0.32	0.735	0.125	24.004	3.312	117.646	0.058	2.02	0.495	0.968
imp	1.803	6.799	0.49	2.104	15.953	4.242	163.521	1.513	1.369	0.73	0.865
imp	0.009	0.367	0.797	0.143	23.661	3.487	51.009	0.09	1.461	0.684	0.948
imp	0.975	9.481	0.136	1.867	11.384	5.124	56.31	1.275	1.885	0.531	0.529
imp	0.054	1.072	0.588	0.345	12.477	3.693	54.36	0.26	1.378	0.726	0.829
imp	0.026	0.875	0.43	0.345	24.152	3.487	139.97	0.133	3.366	0.297	0.726
imp	0.005	0.257	0.868	0.095	23.925	3.492	123.69	0.063	1.299	0.77	0.959
imp	0.071	2.032	0.215	0.517	23.824	3.957	26.042	0.355	1.62	0.617	0.562
imp	2.794	14.264	0.173	2.748	6.038	3.703	116.122	1.831	1.304	0.767	0.758
imp	0.009	0.39	0.72	0.15	5.869	3.719	122.005	0.09	1.814	0.551	0.889
imp	0.103	1.993	0.325	0.708	12.641	4.416	49.538	0.265	2.649	0.378	0.763
imp	0.006	0.297	0.873	0.109	12.446	4.02	39.094	0.074	1.206	0.829	0.973
imp	0.052	0.991	0.66	0.334	23.967	4.369	66.682	0.246	1.403	0.713	0.872
imp	0.003	0.199	0.877	0.075	12.303	4.068	140.711	0.048	1.222	0.818	1
imp	0.118	2.435	0.25	0.618	12.303	4.691	73.113	0.394	1.545	0.647	0.691
imp	0.014	0.481	0.742	0.185	24.353	4.316	36.87	0.109	1.772	0.564	0.897
imp	0.005	0.265	0.88	0.106	12.113	4.295	53.13	0.063	1.416	0.706	0.975
imp	0.008	0.357	0.754	0.139	24.221	4.295	155.376	0.069	1.957	0.511	0.948
imp	0.008	0.352	0.773	0.137	11.77	4.39	152.447	0.069	1.872	0.534	0.975
imp	0.011	0.432	0.719	0.176	24.295	4.575	57.265	0.091	2.007	0.498	0.917
imp	0.014	0.493	0.744	0.194	16.424	4.511	150.642	0.104	1.921	0.521	0.926
imp	3.199	7.621	0.692	2.708	14.448	8.088	84.178	1.624	1.648	0.607	0.955
imp	3.044	8.477	0.532	3.185	19.276	6.693	14.405	1.537	1.952	0.512	0.86
imp	0.003	0.196	0.905	0.075	23.143	6.741	45	0.053	1.025	0.975	0.995
imp	4.979	11.44	0.478	4.73	22.546	9.863	37.331	1.567	3.373	0.296	0.893
imp	2.369	7.457	0.535	2.456	6.709	7.897	21.71	1.85	1.171	0.854	0.845
imp	1.682	10.561	0.19	2.163	19.038	8.04	97.437	1.306	1.719	0.582	0.775
imp	2.553	6.863	0.681	2.285	4.643	9.445	12.011	1.744	1.397	0.716	0.924
imp	0.014	0.444	0.882	0.159	19.873	8.695	60.018	0.111	1.273	0.786	0.973
imp	2.586	6.638	0.737	2.152	14.707	10.798	54.593	1.615	1.285	0.778	0.958
imp	0.002	0.178	0.899	0.067	5.071	10.264	135	0.048	1	1	1
imp	3.633	9.305	0.527	3.376	17.195	11.648	137.22	1.376	2.452	0.408	0.941
imp	0.005	0.28	0.86	0.11	3.349	11.918	125.218	0.069	1.503	0.665	0.96
imp	1.954	9.422	0.277	2.245	1.68	12.161	157.297	1.582	1.473	0.679	0.768
imp	0.03	0.768	0.649	0.254	2.377	12.118	159.305	0.169	1.315	0.76	0.883
imp	2.366	6.451	0.715	2.371	8.537	13.55	21.707	1.394	1.757	0.569	0.956
imp	0.003	0.211	0.916	0.079	2.314	12.24	42.274	0.058	1.061	0.943	0.979
imp	0.935	8.724	0.154	1.814	12.161	14.744	32.394	1.136	1.668	0.599	0.626
imp	0.025	0.694	0.642	0.276	12.615	13.407	153.925	0.121	2.521	0.397	0.922
imp	0.005	0.251	0.928	0.097	12.905	14.627	49.399	0.069	1.201	0.833	0.974
imp	0.087	1.906	0.301	0.715	12.224	14.823	165.45	0.196	4.138	0.242	0.754
imp	0.002	0.178	0.899	0.067	13	14.834	135	0.048	1	1	1
imp	1.48	5.948	0.526	2.103	15.647	15.33	94.178	1.253	1.747	0.572	0.812
imp	0.233	3.688	0.215	1.004	8.759	15.679	108.721	0.505	2.16	0.463	0.628
imp	1.003	10.807	0.108	2.256	8.859	16.814	9.705	1.304	2.036	0.491	0.436
imp	0.109	2.403	0.238	0.696	9.683	16.043	127.913	0.365	2.156	0.464	0.6
imp	0.003	0.224	0.87	0.087	10.254	16.498	127.569	0.053	1.337	0.748	0.98
imp	3.377	7.489	0.757	2.803	24.3	1.754	18.23	1.701	1.688	0.592	0.974
imp	3.105	7.29	0.734	2.634	15.726	3.106	21.161	1.644	1.592	0.628	0.972
imp	2.484	7.255	0.593	2.895	9.736	3.037	33.313	1.339	2.095	0.477	0.93
imp	2.009	6.896	0.531	2.432	20.053	4.115	79.105	1.244	2.197	0.455	0.858
imp	4.332	9.78	0.569	4.03	2.087	3.735	149.165	1.77	2.231	0.448	0.946
imp	3.492	10.189	0.423	3.099	21.981	5.494	34.584	1.556	1.87	0.535	0.904
imp	1.371	4.894	0.719	1.721	15.457	5.388	49.857	1.184	1.449	0.69	0.957
imp	1.544	17.065	0.067	2.913	8.484	5.573	177.921	1.242	2.373	0.421	0.54
imp	0.015	0.524	0.702	0.192	10.676	5.235	58.496	0.126	1.54	0.649	0.889
imp	0.004	0.228	0.887	0.086	10.829	5.198	47.49	0.058	1.093	0.915	0.996
imp	0.005	0.257	0.884	0.097	10.058	5.166	139.399	0.063	1.279	0.782	0.968
imp	0.004	0.253	0.854	0.098	10.634	5.341	53.746	0.058	1.422	0.703	0.975
imp	0.068	1.629	0.322	0.576	10.412	5.906	52.079	0.276	2.803	0.357	0.62
imp	0.01	0.392	0.78	0.146	10.354	5.674	49.399	0.1	1.29	0.775	0.932
imp	0.005	0.257	0.889	0.097	8.954	5.652	49.399	0.069	1.15	0.87	0.966
imp	0.002	0.178	0.899	0.067	10.116	5.578	135	0.048	1	1	1
imp	0.012	0.45	0.736	0.151	11.115	5.853	53.531	0.121	1.102	0.907	0.876
imp	0.007	0.318	0.875	0.116	8.51	5.895	59.931	0.074	1.349	0.741	0.977
imp	0.014	0.456	0.832	0.16	8.679	5.806	124.216	0.111	1.349	0.741	0.954
imp	0.011	0.41	0.799	0.161	8.827	5.938	148.392	0.1	1.549	0.645	0.929
imp	0.029	0.943	0.411	0.306	9.915	5.985	111.251	0.186	1.882	0.531	0.688
imp	0.012	0.486	0.629	0.19	10.602	6.165	70.56	0.083	2.581	0.388	0.913
imp	0.391	4.472	0.246	1.471	11.558	5.996	124.318	0.69	2.426	0.412	0.671
imp	0.076	1.349	0.523	0.528	10.845	6.519	73.74	0.208	2.726	0.367	0.871
imp	0.028	0.798	0.547	0.3	10.185	6.244	151.631	0.158	2.093	0.478	0.812
imp	0.022	0.823	0.408	0.273	10.644	6.524	75.426	0.135	2.418	0.414	0.716
imp	0.005	0.287	0.828	0.117	9.91	6.334	144.162	0.069	1.681	0.595	0.956
imp	0.02	0.759	0.445	0.331	10.164	6.445	153.435	0.092	4.299	0.233	0.818
imp	0.008	0.37	0.689	0.154	10.565	6.593	149.036	0.067	2.372	0.422	0.924
imp	0.002	0.178	0.899	0.067	11.289	6.614	135	0.048	1	1	1
imp	0.009	0.373	0.819	0.142	11.632	6.91	45	0.096	1.448	0.691	0.927
imp	0.004	0.239	0.912	0.09	11.141	6.836	130.236	0.063	1.113	0.898	0.98
imp	3.189	7.998	0.626	2.59	14.358	7.697	170.845	1.701	1.415	0.707	0.956
imp	0.294	2.526	0.579	0.994	6.218	8.674	37.661	0.417	2.521	0.397	0.907
imp	3.583	8.608	0.608	3.325	19.044	11.453	60.176	1.541	2.227	0.449	0.936
imp	0.002	0.178	0.899	0.067	6.82	8.663	135	0.048	1	1	1
imp	0.008	0.363	0.742	0.144	6.698	8.79	28.443	0.069	2.005	0.499	0.96
imp	0.002	0.178	0.899	0.067	6.466	8.78	135	0.048	1	1	1
imp	0.004	0.256	0.834	0.098	6.598	8.838	36.254	0.058	1.414	0.707	0.975
imp	0.03	0.922	0.44	0.319	6.841	8.785	106.336	0.158	2.152	0.465	0.764
imp	0.009	0.376	0.833	0.144	7.021	8.785	118.443	0.085	1.589	0.629	0.97
imp	0.011	0.406	0.802	0.161	6.218	8.959	46.332	0.102	1.535	0.651	0.941
imp	0.271	5.192	0.126	1.648	6.508	8.859	128.229	0.589	3.348	0.299	0.403
imp	0.138	3.058	0.185	0.741	6.038	9.789	53.702	0.435	2.058	0.486	0.619
imp	0.012	0.401	0.928	0.147	6.889	9.488	37.694	0.116	1.187	0.842	0.958
imp	0.006	0.293	0.81	0.117	6.561	9.577	54.162	0.069	1.642	0.609	0.943
imp	2.603	6.753	0.717	2.404	23.254	11.812	72.481	1.662	1.374	0.728	0.95
imp	0.004	0.224	0.884	0.084	6.593	9.604	124.695	0.053	1.304	0.767	0.988
imp	0.091	2.043	0.274	0.621	7.036	9.799	125.311	0.308	2.265	0.441	0.624
imp	0.003	0.211	0.924	0.082	7.227	9.826	135	0.058	1.084	0.923	0.987
imp	0.016	0.627	0.522	0.264	7.448	10.444	78.465	0.079	3.75	0.267	0.906
imp	0.034	0.81	0.656	0.313	14.675	10.518	111.801	0.169	2.023	0.494	0.928
imp	0.004	0.226	0.915	0.09	7.385	10.613	45	0.063	1.195	0.837	0.974
imp	2.715	9.08	0.414	2.979	14.612	13.941	86.848	1.385	2.108	0.474	0.906
imp	1.886	8.165	0.355	2.073	12.234	11.347	104.461	1.653	1.208	0.828	0.862
imp	0.008	0.337	0.88	0.124	14.348	11.442	50.194	0.095	1.087	0.92	0.956
imp	1.795	12.411	0.146	2.398	5.504	13.883	81.513	1.677	1.678	0.596	0.594
imp	0.004	0.248	0.911	0.101	13.159	11.542	132.879	0.069	1.33	0.752	0.97
imp	0.003	0.217	0.872	0.083	5.251	11.664	50.194	0.053	1.221	0.819	0.987
imp	1.739	8.333	0.315	2.041	7.211	13.243	42.693	1.367	1.65	0.606	0.804
imp	0.003	0.193	0.925	0.075	8.119	12.198	45	0.053	1.052	0.95	0.99
imp	0.003	0.209	0.863	0.079	8.051	12.213	126.87	0.048	1.333	0.75	1
imp	0.095	1.714	0.407	0.653	5.082	12.245	108.875	0.216	3.538	0.283	0.807
imp	0.002	0.178	0.899	0.067	5.145	12.266	135	0.048	1	1	1
imp	0.007	0.323	0.828	0.131	7.633	12.483	40.101	0.082	1.552	0.644	0.95
imp	0.003	0.193	0.925	0.075	11.389	12.462	45	0.053	1.052	0.95	0.99
imp	0.01	0.424	0.719	0.159	5.573	12.884	60.018	0.095	1.696	0.59	0.892
imp	0.004	0.261	0.775	0.101	5.494	12.8	132.879	0.069	1.469	0.681	0.904
imp	0.007	0.341	0.794	0.138	5.637	13.925	147.529	0.079	1.717	0.583	0.921
imp	2.563	6.525	0.757	2.255	12.102	16.492	71.141	1.653	1.402	0.713	0.94
imp	2.333	7.277	0.554	2.406	2.641	15.034	159.974	1.618	1.459	0.686	0.879
imp	2.254	6.36	0.7	2.361	11.4	1.426	19.205	1.278	1.743	0.574	0.957
imp	2.889	7.175	0.705	2.55	8.008	2.24	154.868	1.817	1.46	0.685	0.963
imp	2.843	7.221	0.685	2.356	1.902	3.006	120.589	1.576	1.339	0.747	0.925
imp	2.818	7.152	0.692	2.629	22.668	4.274	9.368	1.641	1.593	0.628	0.946
imp	3.722	9.137	0.56	2.807	16.022	4.12	117.337	1.739	1.616	0.619	0.939
imp	1.578	5.798	0.59	1.955	4.96	4.538	157.94	1.23	1.505	0.665	0.899
imp	3.813	8.339	0.689	3.105	18.5	8.22	19.792	1.716	1.822	0.549	0.952
imp	0.009	0.365	0.826	0.147	13.692	6.698	37.694	0.083	1.735	0.576	0.949
imp	2.159	13.102	0.158	2.645	12.145	8.082	119.688	1.502	1.855	0.539	0.762
imp	2.262	5.921	0.811	1.957	24.612	8.943	10.734	1.599	1.202	0.832	0.975
imp	0.004	0.249	0.873	0.093	13.053	8.827	132.709	0.063	1.092	0.916	0.994
imp	1.772	6.334	0.555	2.518	1.469	9.561	162.667	1.188	2.156	0.464	0.925
imp	0.01	0.397	0.784	0.149	12.493	8.906	157.068	0.079	1.802	0.555	0.959
imp	3.203	7.785	0.664	2.709	6.255	8.965	130.492	1.823	1.39	0.719	0.942
imp	0.004	0.218	0.935	0.086	12.319	10.021	137.49	0.058	1.137	0.879	0.984
imp	2.725	6.98	0.703	2.672	16.741	13.518	35.261	1.461	1.873	0.534	0.961
imp	2.486	11.53	0.235	2.632	9.144	12.044	129.217	1.586	1.659	0.603	0.82
imp	2.392	7.312	0.562	2.641	0.787	12.298	108.544	1.5	1.761	0.568	0.924
imp	3.038	8.69	0.505	3.179	7.987	14.797	104.336	1.552	1.909	0.524	0.853
imp	3.397	8.854	0.545	3.281	4.226	15.32	131.932	1.753	2.05	0.488	0.887
imp	2.491	7.731	0.524	3.26	16.154	0.803	170.675	1.14	2.735	0.366	0.949
imp	2.711	6.702	0.759	2.252	9.715	1.484	146.869	1.653	1.413	0.708	0.969
imp	3.517	8.837	0.566	3.663	20.121	6.968	56.47	1.41	2.812	0.356	0.954
imp	2.31	6.144	0.769	2.012	14.416	5.948	39.459	1.448	1.377	0.726	0.97
imp	0.004	0.233	0.929	0.093	7.459	5.098	137.291	0.063	1.215	0.823	0.973
imp	2.826	7.197	0.686	2.365	10.75	8.648	74.318	1.815	1.271	0.787	0.937
imp	2.513	7.225	0.605	2.63	6.815	8.748	45.814	1.382	1.811	0.552	0.918
imp	2.529	6.79	0.69	2.537	17.95	6.867	135.928	1.445	1.707	0.586	0.957
imp	0.006	0.315	0.769	0.125	4.923	6.767	53.616	0.072	1.686	0.593	0.925
imp	0.005	0.279	0.868	0.105	4.812	6.772	130.914	0.074	1.188	0.842	0.965
imp	2.417	6.39	0.744	2.074	22.055	9.318	77.946	1.643	1.086	0.921	0.949
imp	2.251	6.21	0.734	2.097	14.406	10.475	52.986	1.513	1.273	0.786	0.961
imp	2.395	6.872	0.637	2.421	17.691	9.033	133.762	1.694	1.391	0.719	0.931
imp	2.968	7.787	0.615	2.928	9.35	9.762	96.317	1.433	2.149	0.465	0.951
imp	1.431	4.777	0.788	1.655	23.851	11.009	12.35	1.191	1.253	0.798	0.956
imp	2.804	6.789	0.764	2.135	4.258	15.467	88.015	1.842	1.07	0.935	0.953
imp	2.893	7.978	0.571	3.109	10.026	16.968	33.285	1.518	2.329	0.429	0.924
imp	2.758	7.168	0.674	2.524	15.615	17.285	35.287	1.516	1.639	0.61	0.945
imp	3.366	8.075	0.649	2.683	3.825	2.282	22.576	1.664	1.482	0.675	0.952
imp	2.281	6.442	0.691	2.19	13.096	2.546	46.759	1.59	1.416	0.706	0.904
imp	2.884	8.269	0.53	3.308	10.423	1.41	123.208	1.143	3.137	0.319	0.905
imp	2.152	8.067	0.416	3.352	21.157	4.696	69.909	0.913	4.107	0.243	0.874
imp	2.409	6.462	0.725	2.284	16.63	2.129	114.312	1.58	1.453	0.688	0.944
imp	2.988	7.974	0.591	2.815	3.312	4.997	32.199	1.846	1.55	0.645	0.872
imp	0.003	0.199	0.877	0.075	17.681	4.152	140.711	0.048	1.222	0.818	1
imp	2.406	6.277	0.767	2.161	23.719	7.855	37.15	1.672	1.251	0.799	0.97
imp	1.754	8.419	0.311	2.583	21.569	9.075	81.77	1.259	2.075	0.482	0.819
imp	2.749	6.897	0.726	2.56	10.755	6.899	158.835	1.475	1.775	0.564	0.967
imp	1.705	6.598	0.492	1.76	17.765	7.639	164.504	1.443	1.086	0.921	0.899
imp	2.844	7.421	0.649	2.603	5.943	9.561	36.335	1.781	1.491	0.671	0.923
imp	0.024	0.834	0.434	0.289	21.453	8.257	129.806	0.155	2.38	0.42	0.701
imp	0.005	0.254	0.933	0.094	21.669	8.642	51.843	0.069	1.112	0.899	0.98
imp	0.008	0.348	0.827	0.128	15.684	8.917	114.444	0.079	1.532	0.653	0.95
imp	0.048	1.054	0.548	0.404	15.309	9.223	28.909	0.208	2.078	0.481	0.835
imp	0.01	0.384	0.815	0.151	15.948	9.171	60.751	0.085	1.694	0.59	0.957
imp	0.131	2.227	0.333	0.698	15.737	9.091	108.983	0.353	2.141	0.467	0.704
imp	0.111	1.6	0.544	0.512	14.96	9.572	135.418	0.375	1.392	0.718	0.816
imp	2.443	9.062	0.374	2.327	18.727	10.782	5.995	1.644	1.38	0.725	0.854
imp	0.004	0.239	0.881	0.093	15.679	9.831	42.709	0.063	1.206	0.829	0.966
imp	0.06	1.363	0.406	0.467	16.038	10.227	79.579	0.257	2.08	0.481	0.682
imp	0.01	0.388	0.796	0.154	15.367	9.931	51.953	0.093	1.657	0.604	0.938
imp	0.005	0.277	0.88	0.105	15.684	10.005	45	0.074	1.038	0.963	0.995
imp	0.103	1.839	0.382	0.533	15.758	10.481	70.308	0.363	1.658	0.603	0.744
imp	2.02	6.568	0.588	1.893	2.985	11.759	65.437	1.444	1.217	0.821	0.937
imp	0.014	0.496	0.695	0.202	15.415	9.995	123.275	0.103	2.278	0.439	0.889
imp	0.04	0.938	0.573	0.361	15.214	10.586	50.947	0.181	2.113	0.473	0.893
imp	0.024	0.65	0.722	0.237	14.955	10.549	73.179	0.143	1.686	0.593	0.918
imp	0.016	0.546	0.654	0.24	15.504	10.734	39.644	0.089	2.714	0.368	0.93
imp	0.006	0.328	0.729	0.126	14.976	10.74	56.976	0.073	1.786	0.56	0.896
imp	0.07	1.271	0.545	0.504	14.775	11.014	24.146	0.224	2.393	0.418	0.88
imp	2.192	10.342	0.258	2.56	8.621	13.233	54.407	1.453	1.655	0.604	0.824
imp	2.529	6.665	0.715	2.398	12.393	13.286	8.487	1.624	1.512	0.661	0.947
imp	3.252	7.884	0.657	2.661	16.894	14.046	10.641	1.771	1.351	0.74	0.943
imp	2.287	6.702	0.64	2.333	14.068	16.27	36.066	1.525	1.517	0.659	0.934
imp	1.993	5.958	0.705	2.151	7.892	15.283	140.681	1.255	1.662	0.602	0.954
imp	3.101	7.723	0.653	2.938	13.08	2.636	28.224	1.563	1.914	0.523	0.949
imp	2.711	7.498	0.606	2.888	21.294	3.624	73.421	1.367	2.224	0.45	0.941
imp	3.372	7.553	0.743	2.619	11.68	3.539	172.932	1.734	1.398	0.715	0.953
imp	2.397	7.195	0.582	2.891	2.689	5.473	37.352	1.294	2.169	0.461	0.937
imp	3.387	8.013	0.663	2.82	19.181	6.086	49.026	1.702	1.622	0.616	0.935
imp	3.052	7.13	0.754	2.336	8.204	5.953	19.828	1.812	1.279	0.782	0.968
imp	3.529	7.781	0.733	2.771	23.867	6.244	169.676	1.869	1.443	0.693	0.968
imp	3.154	7.403	0.723	2.457	0.544	6.82	176.055	1.811	1.369	0.73	0.946
imp	5.165	9.936	0.657	3.685	16.714	6.54	94.852	2.156	1.837	0.544	0.921
imp	2.905	7.337	0.678	2.416	12.393	8.14	107.563	1.794	1.268	0.789	0.939
imp	0.007	0.339	0.718	0.132	21.384	8.468	66.501	0.063	2.179	0.459	0.933
imp	0.015	0.496	0.756	0.19	21.13	8.885	70.56	0.106	1.895	0.528	0.928
imp	0.012	0.543	0.507	0.229	21.379	8.753	104.676	0.063	4.021	0.249	0.925
imp	0.05	0.901	0.776	0.3	8.727	8.922	130.711	0.237	1.124	0.89	0.926
imp	0.005	0.288	0.77	0.111	21.389	8.991	115.346	0.053	1.928	0.519	0.978
imp	0.003	0.209	0.863	0.079	21.389	9.128	126.87	0.048	1.333	0.75	1
imp	3.196	8.053	0.619	3.194	6.281	9.704	164.263	1.725	1.88	0.532	0.927
imp	1.907	8.601	0.324	2.18	3.259	11.632	42.545	1.568	1.308	0.764	0.833
imp	2.641	7.518	0.587	2.424	22.039	12.71	38.718	1.785	1.546	0.647	0.852
imp	3.693	8.997	0.573	3.418	8.901	11.564	132.369	1.554	2.491	0.401	0.919
imp	3.244	7.863	0.659	2.981	14.538	14.342	79.586	1.547	1.881	0.532	0.959
imp	2.682	6.685	0.754	2.323	1.02	12.124	167.259	1.631	1.354	0.739	0.959
imp	3.764	8.498	0.655	3.196	18.632	11.97	93.222	1.63	1.96	0.51	0.961
imp	0.011	0.397	0.88	0.146	23.872	15.753	130.601	0.1	1.209	0.827	0.971
imp	0.004	0.25	0.859	0.097	24.691	15.842	40.601	0.063	1.313	0.761	0.959
imp	0.003	0.203	0.908	0.079	24.627	15.89	42.274	0.053	1.127	0.887	0.986
imp	0.006	0.301	0.863	0.117	23.957	15.874	125.838	0.074	1.429	0.7	0.965
imp	0.02	0.611	0.668	0.239	25.135	15.996	27.699	0.115	2.249	0.445	0.875
imp	0.003	0.188	0.89	0.071	25.319	16.107	138.013	0.048	1.111	0.9	1
